bionicx-exec: running untraced pid=27093
adduser	3.152	installed
adwaita-icon-theme	48.1-1	installed
apt	3.0.3	installed
at-spi2-common	2.56.2-1+deb13u1	installed
base-files	13.8+deb13u6	installed
base-passwd	3.6.7	installed
bash	5.2.37-2+b9	installed
binutils	2.44-3	installed
binutils-aarch64-linux-gnu	2.44-3	installed
binutils-common:arm64	2.44-3	installed
bsdextrautils	2.41-5	installed
bsdutils	1:2.41-5	installed
bubblewrap	0.11.0-2+deb13u1	installed
ca-certificates	20250419	installed
coreutils	9.7-3	installed
dash	0.5.12-12	installed
dbus	1.16.2-2	installed
dbus-bin	1.16.2-2	installed
dbus-daemon	1.16.2-2	installed
dbus-session-bus-common	1.16.2-2	installed
dbus-system-bus-common	1.16.2-2	installed
dbus-user-session	1.16.2-2	installed
dconf-gsettings-backend:arm64	0.40.0-5	installed
dconf-service	0.40.0-5	installed
debconf	1.5.91	installed
debian-archive-keyring	2025.1	installed
debianutils	5.23.2	installed
desktop-file-utils	0.28-1	installed
dictionaries-common	1.30.10	installed
diffutils	1:3.10-4	installed
dirmngr	2.4.7-21+deb13u1+b4	installed
dpkg	1.22.22	installed
emacsen-common	3.0.8	installed
evince	48.1-3+deb13u1	installed
evince-common	48.1-3+deb13u1	installed
exo-utils	4.20.0-1	installed
filezilla	3.68.1-1	installed
filezilla-common	3.68.1-1	installed
findutils	4.10.0-3	installed
firefox-esr	140.13.0esr-1~deb13u1	installed
fontconfig	2.15.0-2.3	installed
fontconfig-config	2.15.0-2.3	installed
fonts-dejavu-core	2.37-8	installed
fonts-dejavu-mono	2.37-8	installed
fonts-liberation	1:2.1.5-3	installed
fonts-opensymbol	4:102.12+LibO25.2.3-2+deb13u6	installed
fonts-urw-base35	20200910-8	installed
gcc-14-base:arm64	14.2.0-19	installed
gdal-data	3.10.3+dfsg-1	installed
gdal-plugins:arm64	3.10.3+dfsg-1	installed
geany	2.0-2	installed
geany-common	2.0-2	installed
gimp	3.0.4-3+deb13u9	installed
gimp-data	3.0.4-3+deb13u9	installed
gir1.2-atk-1.0:arm64	2.56.2-1+deb13u1	installed
gir1.2-babl-0.1:arm64	1:0.1.114-2	installed
gir1.2-freedesktop:arm64	1.84.0-1	installed
gir1.2-gdkpixbuf-2.0:arm64	2.42.12+dfsg-4+deb13u1	installed
gir1.2-gegl-0.4:arm64	1:0.4.62-2+deb13u2	installed
gir1.2-gimp-3.0:arm64	3.0.4-3+deb13u9	installed
gir1.2-girepository-2.0:arm64	1.84.0-1	installed
gir1.2-glib-2.0:arm64	2.84.4-3~deb13u3	installed
gir1.2-gtk-3.0:arm64	3.24.49-3	installed
gir1.2-harfbuzz-0.0:arm64	10.2.0-1+deb13u1	installed
gir1.2-pango-1.0:arm64	1.56.3-1	installed
gnome-desktop3-data	44.3-3	installed
gnupg	2.4.7-21+deb13u1	installed
gnupg-l10n	2.4.7-21+deb13u1	installed
google-chrome-stable	151.0.7922.108-1	installed
gpg	2.4.7-21+deb13u1+b4	installed
gpg-agent	2.4.7-21+deb13u1+b4	installed
gpgconf	2.4.7-21+deb13u1+b4	installed
gpgsm	2.4.7-21+deb13u1+b4	installed
graphviz	2.42.4-3	installed
grep	3.11-4+b1	installed
groff-base	1.23.0-9	installed
gsettings-desktop-schemas	48.0-1	installed
gstreamer1.0-plugins-base:arm64	1.26.2-1+deb13u1	installed
gtk-update-icon-cache	4.18.6+ds-2	installed
gzip	1.13-1	installed
hello	2.10-5	installed
hicolor-icon-theme	0.18-2	installed
hostname	3.25	installed
hunspell-en-us	1:2020.12.07-4	installed
icewm	3.7.4-1	installed
icewm-common	3.7.4-1	installed
init-system-helpers	1.69~deb13u1	installed
inkscape	1.4-6	installed
iso-codes	4.18.0-1	installed
keepassxc	2.7.10+dfsg1-1	installed
keepassxc-full	2.7.10+dfsg1-1	installed
krita	1:5.2.9+dfsg-1+deb13u1	installed
krita-data	1:5.2.9+dfsg-1+deb13u1	installed
lib2geom1.4.0:arm64	1.4-4	installed
libaa1:arm64	1.4p5-51.1+b1	installed
libabsl20240722:arm64	20240722.0-4	installed
libabw-0.1-1:arm64	0.1.3-1+b2	installed
libacl1:arm64	2.3.2-2+b1	installed
libaec0:arm64	1.1.3-1+b1	installed
libamd3:arm64	1:7.10.1+dfsg-1	installed
libann0	1.1.2+doc-9+b2	installed
libao-common	1.2.2+20180113-1.2	installed
libao4:arm64	1.2.2+20180113-1.2	installed
libaom3:arm64	3.12.1-1+deb13u1	installed
libapparmor1:arm64	4.1.0-1	installed
libappstream-glib8:arm64	0.8.3-1	installed
libapt-pkg7.0:arm64	3.0.3	installed
libarchive13t64:arm64	3.7.4-4+deb13u1	installed
